date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:07:00	216/216	U-----	200	untouched ('OK')	text/plain	etag:%22699b6e92-1e4%22	https://docs.python.org/robots.txt		(from )
23:07:00	37108/37108	U-----	200	untouched ('OK')	text/html	etag:%22699aa350-90f4%22	https://docs.python.org/3/tutorial/	C:/My%20Web%20Sites/py_tutorial/docs.python.org/3/tutorial/index.html	(from )
23:07:26	77020/77020	U-----	200	untouched ('')	image/png	etag:%22699aa323-12cdc%22	https://docs.python.org/3.14/_images/social_previews/summary_tutorial_index_4224eef5.png	C:/My%20Web%20Sites/py_tutorial/docs.python.org/3.14/_images/social_previews/summary_tutorial_index_4224eef5.png	(from https://docs.python.org/3/tutorial/)
23:07:27	37108/37108	U-----	200	untouched ('OK')	text/html	etag:%22699aa350-90f4%22	https://docs.python.org/3/tutorial/index.html	C:/My%20Web%20Sites/py_tutorial/docs.python.org/3/tutorial/index-2.html	(from https://docs.python.org/3/tutorial/)
23:07:28	4848/4848	U-----	200	untouched ('OK')	text/css	etag:%22699aa2f2-12f0%22	https://docs.python.org/3/_static/pygments.css?v=b86133f3	C:/My%20Web%20Sites/py_tutorial/docs.python.org/3/_static/pygments4d59.css	(from https://docs.python.org/3/tutorial/)
23:07:28	5290/5290	U-----	200	untouched ('OK')	text/css	etag:%22699aa2f2-14aa%22	https://docs.python.org/3/_static/classic.css?v=234b1a7c	C:/My%20Web%20Sites/py_tutorial/docs.python.org/3/_static/classic6a37.css	(from https://docs.python.org/3/tutorial/)
23:07:53	15635/15635	U-----	200	untouched ('OK')	text/css	etag:%2269551d7c-3d13%22	https://docs.python.org/3/_static/pydoctheme.css?v=4eb63a40	C:/My%20Web%20Sites/py_tutorial/docs.python.org/3/_static/pydocthemebf9e.css	(from https://docs.python.org/3/tutorial/)
23:07:55	5055/5055	U-----	200	untouched ('OK')	text/css	etag:%22699aa2f2-13bf%22	https://docs.python.org/3/_static/pygments_dark.css?v=5349f25f	C:/My%20Web%20Sites/py_tutorial/docs.python.org/3/_static/pygments_dark7c22.css	(from https://docs.python.org/3/tutorial/)
23:07:55	329/329	U-----	200	untouched ('')	application/javascript	etag:%22699aa2f2-149%22	https://docs.python.org/3/_static/documentation_options.js?v=d30c3be3	C:/My%20Web%20Sites/py_tutorial/docs.python.org/3/_static/documentation_optionsbc3f.js	(from https://docs.python.org/3/tutorial/)
23:07:55	4322/4322	U-----	200	untouched ('')	application/javascript	etag:%2269551d79-10e2%22	https://docs.python.org/3/_static/doctools.js?v=9bcbadda	C:/My%20Web%20Sites/py_tutorial/docs.python.org/3/_static/doctoolsb5e9.js	(from https://docs.python.org/3/tutorial/)
23:07:57	3777/3777	U--M-Z	200	updated ('OK')	application/javascript	date:Sun,%2022%20Feb%202026%2021:07:57%20GMT	https://analytics.python.org/js/script.file-downloads.outbound-links.js	C:/My%20Web%20Sites/py_tutorial/analytics.python.org/js/script.file-downloads.outbound-links.js	(from https://docs.python.org/3/tutorial/)
23:08:20	5123/5123	U-----	200	untouched ('')	application/javascript	etag:%2269551d79-1403%22	https://docs.python.org/3/_static/sphinx_highlight.js?v=dc90522c	C:/My%20Web%20Sites/py_tutorial/docs.python.org/3/_static/sphinx_highlight7f57.js	(from https://docs.python.org/3/tutorial/)
23:08:23	19560/19560	U-----	200	untouched ('OK')	text/html	etag:%22699aa350-4c68%22	https://docs.python.org/3/tutorial/appetite.html	C:/My%20Web%20Sites/py_tutorial/docs.python.org/3/tutorial/appetite.html	(from https://docs.python.org/3/tutorial/)
23:08:24	2395/2395	U-----	200	untouched ('')	application/javascript	etag:%22699aa2f2-95b%22	https://docs.python.org/3/_static/sidebar.js	C:/My%20Web%20Sites/py_tutorial/docs.python.org/3/_static/sidebar.js	(from https://docs.python.org/3/tutorial/)
23:08:24	3472/3472	U-----	200	untouched ('OK')	text/css	etag:%2269551d7c-d90%22	https://docs.python.org/3/_static/pydoctheme_dark.css	C:/My%20Web%20Sites/py_tutorial/docs.python.org/3/_static/pydoctheme_dark.css	(from https://docs.python.org/3/tutorial/)
23:08:24	2801/2801	U-----	200	untouched ('')	application/javascript	etag:%2269551d7c-af1%22	https://docs.python.org/3/_static/copybutton.js	C:/My%20Web%20Sites/py_tutorial/docs.python.org/3/_static/copybutton.js	(from https://docs.python.org/3/tutorial/)
23:08:27	2137/2137	U-----	200	untouched ('')	application/javascript	etag:%2269551d7c-859%22	https://docs.python.org/3/_static/menu.js	C:/My%20Web%20Sites/py_tutorial/docs.python.org/3/_static/menu.js	(from https://docs.python.org/3/tutorial/)
23:08:28	559/559	U-----	200	untouched ('')	application/javascript	etag:%2269551d7c-22f%22	https://docs.python.org/3/_static/search-focus.js	C:/My%20Web%20Sites/py_tutorial/docs.python.org/3/_static/search-focus.js	(from https://docs.python.org/3/tutorial/)
23:08:52	2108/2108	U-----	200	untouched ('')	application/javascript	etag:%226906e11c-83c%22	https://docs.python.org/3/_static/rtd_switcher.js	C:/My%20Web%20Sites/py_tutorial/docs.python.org/3/_static/rtd_switcher.js	(from https://docs.python.org/3/tutorial/)
23:08:53	779/779	U-----	200	untouched ('')	application/javascript	etag:%2269551d7c-30b%22	https://docs.python.org/3/_static/themetoggle.js	C:/My%20Web%20Sites/py_tutorial/docs.python.org/3/_static/themetoggle.js	(from https://docs.python.org/3/tutorial/)
23:08:55	29918/29918	U-----	200	untouched ('OK')	text/html	etag:%22699aa350-74de%22	https://docs.python.org/3/tutorial/interpreter.html	C:/My%20Web%20Sites/py_tutorial/docs.python.org/3/tutorial/interpreter.html	(from https://docs.python.org/3/tutorial/)
23:08:55	73093/73093	U-----	200	untouched ('OK')	text/html	etag:%22699aa350-11d85%22	https://docs.python.org/3/tutorial/introduction.html	C:/My%20Web%20Sites/py_tutorial/docs.python.org/3/tutorial/introduction.html	(from https://docs.python.org/3/tutorial/)
23:09:20	141606/141606	U-----	200	untouched ('OK')	text/html	etag:%22699aa350-22926%22	https://docs.python.org/3/tutorial/controlflow.html	C:/My%20Web%20Sites/py_tutorial/docs.python.org/3/tutorial/controlflow.html	(from https://docs.python.org/3/tutorial/)
23:09:21	101579/101579	U-----	200	untouched ('OK')	text/html	etag:%22699aa350-18ccb%22	https://docs.python.org/3/tutorial/datastructures.html	C:/My%20Web%20Sites/py_tutorial/docs.python.org/3/tutorial/datastructures.html	(from https://docs.python.org/3/tutorial/)
23:09:21	74695/74695	U-----	200	untouched ('OK')	text/html	etag:%22699aa350-123c7%22	https://docs.python.org/3/tutorial/modules.html	C:/My%20Web%20Sites/py_tutorial/docs.python.org/3/tutorial/modules.html	(from https://docs.python.org/3/tutorial/)
23:09:21	78527/78527	U-----	200	untouched ('OK')	text/html	etag:%22699aa350-132bf%22	https://docs.python.org/3/tutorial/inputoutput.html	C:/My%20Web%20Sites/py_tutorial/docs.python.org/3/tutorial/inputoutput.html	(from https://docs.python.org/3/tutorial/)
23:09:50	86613/86613	U-----	200	untouched ('OK')	text/html	etag:%22699aa350-15255%22	https://docs.python.org/3/tutorial/errors.html	C:/My%20Web%20Sites/py_tutorial/docs.python.org/3/tutorial/errors.html	(from https://docs.python.org/3/tutorial/)
23:09:50	106247/106247	U-----	200	untouched ('OK')	text/html	etag:%22699aa350-19f07%22	https://docs.python.org/3/tutorial/classes.html	C:/My%20Web%20Sites/py_tutorial/docs.python.org/3/tutorial/classes.html	(from https://docs.python.org/3/tutorial/)
23:09:50	68791/68791	U-----	200	untouched ('OK')	text/html	etag:%22699aa350-10cb7%22	https://docs.python.org/3/tutorial/stdlib2.html	C:/My%20Web%20Sites/py_tutorial/docs.python.org/3/tutorial/stdlib2.html	(from https://docs.python.org/3/tutorial/)
23:09:50	60225/60225	U-----	200	untouched ('OK')	text/html	etag:%22699aa350-eb41%22	https://docs.python.org/3/tutorial/stdlib.html	C:/My%20Web%20Sites/py_tutorial/docs.python.org/3/tutorial/stdlib.html	(from https://docs.python.org/3/tutorial/)
23:09:50	31574/31574	U-----	200	untouched ('OK')	text/html	etag:%22699aa350-7b56%22	https://docs.python.org/3/tutorial/venv.html	C:/My%20Web%20Sites/py_tutorial/docs.python.org/3/tutorial/venv.html	(from https://docs.python.org/3/tutorial/)
23:09:50	19917/19917	U-----	200	untouched ('OK')	text/html	etag:%22699aa350-4dcd%22	https://docs.python.org/3/tutorial/whatnow.html	C:/My%20Web%20Sites/py_tutorial/docs.python.org/3/tutorial/whatnow.html	(from https://docs.python.org/3/tutorial/)
23:10:18	19775/19775	U-----	200	untouched ('OK')	text/html	etag:%22699aa350-4d3f%22	https://docs.python.org/3/tutorial/interactive.html	C:/My%20Web%20Sites/py_tutorial/docs.python.org/3/tutorial/interactive.html	(from https://docs.python.org/3/tutorial/)
